,Class,probability,long,lat,Distance,character,color_shape,color_char
0,star,0.9102643132209778,5.000184908021286,5.000044290151378,4.931705900626858,x,Brown,Black
1,['cross'],[0.8945083618164062],[5.000940760108295],[5.000035432121103],[4.946282624916974],['o'],['Red'],['Black']
2,['W'],[0.8860628604888916],[5.000126516014564],[5.000011119655027],[1.2945616080142515],['w'],['White'],['Brown']
3,['B'],[0.8157414793968201],[5.000875880100827],[5.000000753874917],[2.813734297058705],['a'],['Red'],['Brown']
4,['semicircle'],[0.3844265937805176],[5.001391676160202],[5.000040049604969],[6.290373073417647],['i'],['Orange'],['Brown']
5,['trapezoid'],[0.22121018171310425],[5.001492240171779],[5.0000220508413245],[5.376009272168757],['1'],['Orange'],['Brown']
6,['B'],[0.1250004917383194],[5.000256276029501],[5.000022993184971],[2.6715653248090754],['6'],['Black'],['Purple']
7,['cross'],[0.8945083618164062],[5.000940760108295],[5.000035432121103],[4.946282624916974],['o'],['Red'],['Black']
8,['W'],[0.8860628604888916],[5.000126516014564],[5.000011119655027],[1.2945616080142515],['w'],['White'],['Brown']
9,['B'],[0.8157414793968201],[5.000875880100827],[5.000000753874917],[2.813734297058705],['a'],['Red'],['Brown']
10,['semicircle'],[0.3844265937805176],[5.001391676160202],[5.000040049604969],[6.290373073417647],['i'],['Orange'],['Brown']
11,['trapezoid'],[0.22121018171310425],[5.001492240171779],[5.0000220508413245],[5.376009272168757],['1'],['Orange'],['Brown']
12,['B'],[0.1250004917383194],[5.000256276029501],[5.000022993184971],[2.6715653248090754],['6'],['Black'],['Purple']
13,['cross'],[0.8945083618164062],[5.000940760108295],[5.000035432121103],[4.946282624916974],['o'],['Red'],['Black']
14,['W'],[0.8860628604888916],[5.000126516014564],[5.000011119655027],[1.2945616080142515],['w'],['White'],['Brown']
15,['B'],[0.8157414793968201],[5.000875880100827],[5.000000753874917],[2.813734297058705],['a'],['Red'],['Brown']
16,['semicircle'],[0.3844265937805176],[5.001391676160202],[5.000040049604969],[6.290373073417647],['i'],['Orange'],['Brown']
17,['trapezoid'],[0.22121018171310425],[5.001492240171779],[5.0000220508413245],[5.376009272168757],['1'],['Orange'],['Brown']
18,['B'],[0.1250004917383194],[5.000256276029501],[5.000022993184971],[2.6715653248090754],['6'],['Black'],['Purple']
19,['cross'],[0.8945083618164062],[5.000940760108295],[5.000035432121103],[4.946282624916974],['o'],['Red'],['Black']
20,['W'],[0.8860628604888916],[5.000126516014564],[5.000011119655027],[1.2945616080142515],['w'],['White'],['Brown']
21,['B'],[0.8157414793968201],[5.000875880100827],[5.000000753874917],[2.813734297058705],['a'],['Red'],['Brown']
22,['semicircle'],[0.3844265937805176],[5.001391676160202],[5.000040049604969],[6.290373073417647],['i'],['Orange'],['Brown']
23,['trapezoid'],[0.22121018171310425],[5.001492240171779],[5.0000220508413245],[5.376009272168757],['1'],['Orange'],['Brown']
24,['B'],[0.1250004917383194],[5.000256276029501],[5.000022993184971],[2.6715653248090754],['6'],['Black'],['Purple']
25,['cross'],[0.8945083618164062],[5.000940760108295],[5.000035432121103],[4.946282624916974],['o'],['Red'],['Black']
26,['W'],[0.8860628604888916],[5.000126516014564],[5.000011119655027],[1.2945616080142515],['w'],['White'],['Brown']
27,['B'],[0.8157414793968201],[5.000875880100827],[5.000000753874917],[2.813734297058705],['a'],['Red'],['Brown']
28,['semicircle'],[0.3844265937805176],[5.001391676160202],[5.000040049604969],[6.290373073417647],['i'],['Orange'],['Brown']
29,['trapezoid'],[0.22121018171310425],[5.001492240171779],[5.0000220508413245],[5.376009272168757],['1'],['Orange'],['Brown']
30,['B'],[0.1250004917383194],[5.000256276029501],[5.000022993184971],[2.6715653248090754],['6'],['Black'],['Purple']
31,['cross'],[0.8945083618164062],[5.000940760108295],[5.000035432121103],[4.946282624916974],['o'],['Red'],['Black']
32,['W'],[0.8860628604888916],[5.000126516014564],[5.000011119655027],[1.2945616080142515],['w'],['White'],['Brown']
33,['B'],[0.8157414793968201],[5.000875880100827],[5.000000753874917],[2.813734297058705],['a'],['Red'],['Brown']
34,['semicircle'],[0.3844265937805176],[5.001391676160202],[5.000040049604969],[6.290373073417647],['i'],['Orange'],['Brown']
35,['trapezoid'],[0.22121018171310425],[5.001492240171779],[5.0000220508413245],[5.376009272168757],['1'],['Orange'],['Brown']
36,['B'],[0.1250004917383194],[5.000256276029501],[5.000022993184971],[2.6715653248090754],['6'],['Black'],['Purple']
